index	0-9	10-19	120-129	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99
Hanzhong City, Shaanxi, China	False	False	False	False	True	True	False	True	True	False	False
Harbin City, Heilongjiang, China	False	False	False	False	False	True	False	False	False	False	False
Harford County, Maryland, United States	False	False	False	False	False	False	False	True	False	True	False
Harrison County, Kentucky, United States	False	False	False	True	False	False	True	True	False	False	False
Haute-Savoie, Auvergne-Rhone-Alpes, France	False	False	False	False	False	False	True	False	False	False	False
Hechi City, Guangxi, China	True	False	False	False	True	True	False	False	False	False	False
Hefei City, Anhui, China	False	True	False	True	True	True	True	True	True	False	False
Heidenheim District, Baden-Wurttemberg, Germany	False	False	False	False	False	False	False	False	False	True	False
Heilbronn District, Baden-Wurttemberg, Germany	False	False	False	True	True	False	True	False	True	True	True
Heinsberg, North Rhine-Westphalia, Germany	False	False	False	False	False	True	False	False	False	False	False
Hennepin County, Minnesota, United States	False	False	False	False	True	False	False	True	False	False	False
Hernando County, Florida, United States	False	True	False	True	True	False	True	True	True	True	False
Highlands County, Florida, United States	False	False	False	True	True	False	True	False	True	False	False
Hillsborough County, Florida, United States	True	True	False	True	True	True	True	True	True	True	False
Hochtaunus District, Hesse, Germany	False	False	False	True	False	False	False	False	False	False	False
Hohenlohe District, Baden-Wurttemberg, Germany	False	False	False	False	False	False	True	False	False	False	False
Honghe Prefecture, Yunnan, China	False	False	False	False	True	True	False	False	False	False	False
Huaihua City, Hunan, China	False	False	False	False	True	True	False	False	False	False	False
Huainan City, Anhui, China	False	False	False	True	False	False	True	False	False	False	False
Hudson County, New Jersey, United States	False	False	False	False	True	True	False	False	False	False	False
Hulunbuir City, Inner Mongolia, China	False	False	False	False	True	False	False	False	False	False	False
Ichikawa, Chiba Prefecture, Japan	False	False	False	False	False	False	True	False	False	True	False
Indian River County, Florida, United States	False	False	False	True	True	True	True	True	True	True	False
Ingham County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
Isere, Auvergne-Rhone-Alpes, France	True	False	False	False	False	False	False	False	False	False	False
Island County, Washington, United States	False	False	False	False	False	False	True	False	True	False	False
Jackson County, Florida, United States	False	False	False	False	True	False	False	False	False	False	False
Jackson County, Oregon, United States	False	False	False	False	False	False	True	False	True	False	False
Jefferson County, Colorado, United States	False	False	False	False	False	False	True	False	True	False	False
Jefferson County, Kentucky, United States	False	False	False	False	True	False	True	True	True	True	False
Jeungpyeong, North Chungcheong, South Korea	False	False	False	False	True	False	False	False	False	False	False
Jilin City, Jilin, China	False	False	False	False	True	False	False	False	True	False	False
Jincheng City, Shanxi, China	False	False	False	True	False	False	False	False	False	False	False
